year,tech_company,employer_benefits,know_options,employer_discussed_benefits,employer_resources,anonymity,difficulty_leave,comfortable_discussing,employer_discussed_issues,physical_importance,mental_importance,industry_support,age,gender,country
2019,True,I don't know,No,Yes,Yes,I don't know,Very easy,Yes,False,5.0,5.0,4.0,25,M,United States of America
2019,True,Yes,No,No,Yes,Yes,I don't know,Maybe,False,5.0,7.0,1.0,51,M,United States of America
2019,True,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,False,5.0,4.0,2.0,27,M,United States of America
2019,True,I don't know,No,Yes,Yes,Yes,Very easy,Yes,False,1.0,3.0,3.0,37,M,United States of America
2019,True,I don't know,No,I don't know,I don't know,I don't know,I don't know,No,False,4.0,4.0,3.0,46,M,United States of America
2019,True,Yes,No,No,No,I don't know,Somewhat difficult,No,False,6.0,5.0,3.0,36,F,United States of America
2019,True,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,False,5.0,5.0,3.0,39,F,United States of America
2019,True,Yes,No,Yes,Yes,Yes,Very easy,Yes,False,8.0,7.0,2.0,49,M,United Kingdom
2019,True,Yes,Yes,No,I don't know,Yes,Very easy,Yes,True,5.0,5.0,4.0,40,M,United Kingdom
2019,True,I don't know,No,No,No,Yes,Somewhat easy,Yes,False,7.0,7.0,3.0,31,M,United States of America
2019,True,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,Yes,True,7.0,5.0,4.0,37,M,United States of America
2019,True,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,No,False,7.0,7.0,3.0,26,F,United States of America
2019,False,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,True,4.0,2.0,3.0,43,M,Canada
2019,True,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,True,7.0,9.0,2.0,35,M,United States of America
2019,True,Yes,No,Yes,I don't know,Yes,Very easy,Yes,False,6.0,6.0,3.0,32,F,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,False,7.0,6.0,3.0,37,M,United States of America
2019,True,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,True,8.0,7.0,3.0,41,M,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,I don't know,Yes,True,10.0,10.0,4.0,40,F,United States of America
2019,True,I don't know,No,No,No,Yes,Neither easy nor difficult,Yes,True,9.0,5.0,3.0,37,M,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,True,6.0,3.0,2.0,53,M,United States of America
2019,True,I don't know,No,No,No,I don't know,Very easy,No,False,1.0,1.0,1.0,29,M,United States of America
2019,True,I don't know,No,No,No,I don't know,Somewhat easy,Yes,True,5.0,9.0,5.0,37,M,United States of America
2019,False,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,False,10.0,0.0,4.0,45,F,United States of America
2019,True,I don't know,No,No,I don't know,I don't know,Very easy,Yes,True,6.0,6.0,3.0,26,M,Netherlands
2019,True,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,True,5.0,7.0,4.0,28,M,United States of America
2019,True,Yes,Yes,Yes,No,I don't know,I don't know,Yes,True,7.0,7.0,3.0,24,F,United States of America
2019,True,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,False,5.0,5.0,4.0,27,M,United States of America
2019,False,Yes,No,No,I don't know,I don't know,Somewhat easy,Yes,False,8.0,7.0,3.0,42,M,United States of America
2019,False,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,Yes,True,7.0,7.0,2.0,23,NB,United Kingdom
2019,False,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,False,4.0,4.0,4.0,34,M,United States of America
2019,True,I don't know,No,No,No,Yes,Very easy,Yes,False,8.0,5.0,4.0,27,M,United States of America
2019,True,Yes,Yes,No,I don't know,I don't know,Somewhat easy,No,False,9.0,7.0,3.0,31,M,United States of America
2019,False,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,False,8.0,6.0,3.0,50,M,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,True,3.0,6.0,2.0,41,M,United States of America
2019,True,I don't know,No,No,No,I don't know,Neither easy nor difficult,No,False,0.0,0.0,1.0,40,M,Croatia
2019,True,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,True,9.0,7.0,2.0,49,M,Other
2019,False,I don't know,No,No,I don't know,I don't know,Very easy,Yes,True,3.0,3.0,2.0,37,M,United States of America
2019,False,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,True,10.0,10.0,1.0,52,M,United States of America
2019,False,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,False,9.0,9.0,2.0,33,M,Canada
2019,True,Yes,Yes,No,I don't know,I don't know,I don't know,No,False,5.0,2.0,3.0,37,M,United States of America
2019,False,I don't know,No,I don't know,Yes,I don't know,Somewhat difficult,Yes,False,8.0,7.0,4.0,53,F,United States of America
2019,True,I don't know,Yes,Yes,No,Yes,Somewhat difficult,Maybe,True,4.0,3.0,2.0,30,M,United States of America
2019,False,Yes,No,No,No,I don't know,Somewhat easy,No,False,3.0,1.0,1.0,35,M,United States of America
2019,False,Yes,Yes,I don't know,I don't know,Yes,Somewhat difficult,Maybe,False,7.0,7.0,3.0,60,M ,United States of America
2019,False,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,False,5.0,5.0,3.0,34,F,United States of America
2019,False,No,No,No,No,I don't know,Difficult,No,True,5.0,2.0,2.0,35,M,United States of America
2019,False,Yes,No,No,No,I don't know,Somewhat difficult,No,False,2.0,0.0,2.0,34,M,United States of America
2019,True,I don't know,No,No,No,Yes,Very easy,Yes,True,7.0,3.0,4.0,28,M,United States of America
2019,True,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,False,5.0,2.0,2.0,28,F,United States of America
2019,True,I don't know,Yes,No,No,Yes,Somewhat difficult,Maybe,False,7.0,5.0,2.0,36,NB,United Kingdom
2019,True,No,No,No,No,No,Somewhat difficult,Yes,False,0.0,0.0,3.0,24,M,Ghana
2019,True,Yes,No,No,Yes,I don't know,I don't know,No,False,5.0,4.0,2.0,55,M,United States of America
2019,True,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,Yes,True,4.0,6.0,3.0,32,M,Norway
2019,True,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,True,10.0,5.0,3.0,33,M,United States of America
2019,True,Yes,Yes,No,No,I don't know,I don't know,Maybe,True,7.0,5.0,4.0,30,F,Portugal
2019,True,Yes,No,No,I don't know,Yes,Very easy,Yes,False,9.0,9.0,4.0,30,M,Portugal
2019,True,Yes,Yes,Yes,No,I don't know,I don't know,Maybe,False,7.0,7.0,3.0,34,M,Portugal
2019,True,No,No,No,No,I don't know,Very easy,Yes,False,8.0,7.0,3.0,36,F,Portugal
2019,True,No,No,No,No,No,Somewhat easy,Yes,False,6.0,3.0,3.0,34,M,Portugal
2019,True,No,Yes,No,No,No,Very easy,Yes,True,3.0,3.0,3.0,40,M,Portugal
2019,True,I don't know,No,No,I don't know,Yes,I don't know,Maybe,False,9.0,8.0,4.0,27,M ,Portugal
2019,False,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,False,6.0,7.0,4.0,47,M,United States of America
2019,False,Yes,Yes,No,Yes,Yes,Difficult,Maybe,False,6.0,4.0,3.0,24,F,United States of America
2019,True,Yes,Yes,No,No,Yes,Somewhat easy,Yes,False,7.0,3.0,1.0,36,M,Portugal
2019,True,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,False,8.0,5.0,2.0,28,M,Portugal
2019,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,True,5.0,7.0,2.0,34,M,United Kingdom
2019,True,I don't know,No,No,No,I don't know,Somewhat easy,Yes,False,5.0,5.0,2.0,28,M,Portugal
2019,True,Yes,Yes,No,No,I don't know,I don't know,No,False,7.0,4.0,2.0,36,M,Portugal
2019,True,Yes,Yes,I don't know,No,Yes,Somewhat easy,Yes,False,10.0,8.0,4.0,24,M,Portugal
2019,True,Yes,Yes,No,No,Yes,I don't know,Maybe,False,5.0,5.0,4.0,32,M,United States of America
2019,False,No,No,Yes,No,Yes,Very easy,Maybe,False,5.0,3.0,2.0,33,M,United Kingdom
2019,True,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Maybe,False,6.0,5.0,3.0,39,M,United States of America
